Reaction,Tinit_NHBE_H,Tinit_293T_H,Tinit_A549_H,Tinit_CALU_H,Tinit_Lung_H,Tinit_NHBE_I,Tinit_293T_I,Tinit_A549_I,Tinit_CALU_I,Tinit_Lung_I
AM9CSAhr,0,0,0,0,1,0,0,0,0,0
AM9CSAtep,0,0,0,1,0,0,0,0,0,0
AMACR2p,1,0,0,1,0,1,0,0,0,0
AMY2e,1,1,1,1,1,1,1,1,1,1
ANDRSTANDRtr,1,0,1,1,1,1,0,1,1,1
ARACHCOAtx,1,1,0,1,1,0,1,1,1,1
ARACHCRNt,0,0,0,0,0,0,0,0,0,1
ARGN1ASPMDte,0,1,0,0,0,0,1,0,0,0
ASNATB0tc,0,0,0,0,1,1,0,0,0,1
ATPtg,1,0,0,0,0,1,0,0,0,1
ATVACIDMCTtu,1,1,0,0,0,1,1,0,0,0
ATVACIDitr,0,0,0,0,1,0,0,0,0,0
ATVACIDtdu,0,0,0,0,1,0,0,0,0,0
ATVACYLGLUChc,0,0,0,0,1,0,0,0,0,0
ATVLACh2r,0,0,0,0,1,0,0,0,0,0
B3GNT312g,0,0,0,0,0,0,0,0,1,0
BGAL1e,1,1,1,1,0,1,0,1,1,0
BGAL1l,1,1,1,1,1,1,1,1,1,1
BGAL2l,1,1,1,1,1,1,1,1,1,1
BGAL3l,0,0,1,0,0,0,0,0,1,0
BGLYte,1,0,1,1,1,1,0,1,1,0
BILDGLCURtr,0,0,1,0,0,0,0,1,0,1
BILGLCURtr,0,0,1,0,0,0,0,1,0,0
BTNTe,0,0,0,0,0,1,0,0,0,0
BTNt3i,0,1,1,0,1,0,1,1,0,0
BTNt4i,0,0,0,1,0,0,0,0,0,0
BUTt2m,1,1,0,0,0,1,1,0,0,0
BUTt2r,1,1,0,0,0,1,1,0,0,0
C03990ATP,0,0,1,0,0,0,0,1,0,1
C03990t,0,0,1,0,0,0,0,1,0,0
C04483t1,0,0,1,0,0,0,0,1,0,1
C04483t2,0,0,1,0,0,0,0,1,0,1
C04717td,0,1,1,1,1,0,1,1,1,1
C05463t1,0,0,1,0,0,0,0,1,0,1
C05463t2,0,0,1,0,0,0,0,1,0,1
C05769te,0,0,1,0,0,0,0,1,0,0
C05769te3,0,0,1,0,0,0,0,1,0,0
C05770te,0,0,1,0,0,0,0,1,0,0
C05770te4,0,0,1,0,0,0,0,1,0,0
C05957t,1,0,0,0,0,0,0,0,0,0
C05957td,0,0,0,0,0,1,0,0,0,0
C100CPT1,0,0,0,0,0,0,0,0,1,0
C10DCc,0,0,0,0,0,0,0,0,1,0
C10OHc,0,0,0,0,0,0,0,0,1,0
C120CPT1,0,0,0,0,0,0,0,0,1,0
C12OHc,0,0,0,0,0,0,0,0,1,0
C13856te,0,0,0,0,1,0,0,0,1,1
C140CPT1,0,0,0,0,0,0,0,0,1,0
C141ACBP,1,1,1,1,1,1,1,1,1,1
C141OHc,0,0,0,0,0,0,0,0,1,0
C142ACBP,1,1,1,1,1,1,1,1,1,1
C142CPT1,0,0,0,0,0,0,0,0,1,0
C142OHc,0,0,0,0,0,0,0,0,1,0
C14770UPKt,0,1,0,1,0,0,1,0,0,0
C14771UPKt,0,1,0,1,0,0,1,0,0,0
C14OHc,0,0,0,0,0,0,0,0,1,0
C14STRr,1,1,1,1,0,1,0,1,0,0
C161CPT12,0,0,0,0,0,0,0,0,1,0
C161CPT22,1,1,1,1,1,1,1,1,1,1
C161CRN2t,0,1,0,0,0,1,0,0,0,1
C161OHc,0,0,0,0,0,0,0,0,1,0
C162ACBP,1,1,1,1,1,1,1,1,1,1
C162OHc,0,0,0,0,0,0,0,0,1,0
C16DCc,0,1,1,1,0,0,1,1,1,0
C16DCtr,0,1,1,1,0,0,1,1,1,0
C16OHc,0,0,0,0,0,0,0,0,1,0
C181CPT1,0,0,1,0,0,0,1,1,1,0
C181CPT2,1,1,0,0,0,1,0,0,0,0
C181CPT2rbc,1,1,0,1,1,1,0,0,0,1
C181CRNt,0,0,0,0,0,0,0,0,0,1
C182OHc,0,0,0,0,0,0,0,0,1,0
C18OHc,0,0,0,0,0,0,0,0,1,0
C226CRNt,1,1,1,1,1,1,1,1,0,1
C3DCtr,0,0,1,0,0,0,0,1,0,0
C3STDH1Pr,1,1,1,1,1,1,1,1,0,0
C3STDH1r,1,1,1,1,0,1,1,1,1,1
C3STKR2r,1,1,1,1,1,1,1,1,1,1
C4OHc,0,0,0,0,0,0,0,0,1,0
C4STMO1r,1,1,1,1,1,1,1,1,1,1
C4STMO2Pr,1,1,1,1,0,1,1,1,0,0
C4STMO2r,1,1,1,1,1,1,1,1,1,1
C50CPT1,0,0,0,0,0,0,0,0,1,0
C51CPT1,0,0,0,0,0,0,0,0,1,0
C60CPT1,0,1,0,0,0,0,0,0,1,0
C6DCc,0,0,0,0,0,0,0,0,1,0
C8DCc,0,0,0,0,0,0,0,0,1,0
CA24GSc,0,0,1,0,0,0,0,1,0,1
CA24Gte,0,0,1,0,0,0,0,1,0,1
CA2t,0,1,0,0,0,0,1,0,0,0
CA3Sabc,0,0,1,0,0,0,0,1,0,1
CA3St,0,0,1,0,0,0,0,1,0,1
CAATPS,1,1,1,0,1,1,1,1,1,1
CARNtr,1,0,0,1,1,1,0,0,1,1
CDCA24GSc,0,0,1,0,0,0,0,1,0,1
CDCA24Gte,0,0,1,0,0,0,0,1,0,1
CDCA3GSc,0,0,1,0,0,0,0,1,0,1
CDCA3Gte,0,0,1,0,0,0,0,1,0,1
CDS,0,0,1,1,1,0,0,1,0,1
CDSm,0,0,1,0,0,0,0,1,0,1
CE1273t1,0,0,1,0,0,0,0,1,0,1
CE1273t2,0,0,1,0,0,0,0,1,0,1
CE1918te,0,0,1,0,0,0,0,1,0,0
CE2510ABCt,0,0,1,0,0,0,0,1,0,0
CE2537ABCt,0,0,0,0,0,0,0,1,0,0
CE2705t,0,1,1,1,1,0,1,1,1,0
CE5025t,1,0,0,1,0,1,0,0,0,1
CE5304t,0,0,0,1,0,0,0,0,0,0
CE7081tr,0,0,1,0,0,0,0,0,0,0
CE7090te,0,0,0,0,0,0,0,0,0,1
CHSTEROLt2,0,0,0,0,0,0,0,0,0,1
CITtam,1,1,1,1,0,1,1,1,1,0
CLOHtex2,0,0,1,0,0,0,0,0,0,0
CLS_hs,1,1,1,1,1,0,0,0,0,1
COKEte,1,0,0,0,1,1,0,0,0,1
COKEtr,1,0,0,0,0,1,0,0,0,0
COPROSTabc,0,0,1,0,0,0,0,1,0,1
COPROSTt,0,0,1,0,0,0,0,1,0,1
COQ3m,0,1,0,0,1,0,0,0,0,0
COQ5m,0,1,0,0,1,0,0,0,0,0
COQ6m,0,1,0,0,1,0,0,0,0,0
COQ7m,0,1,0,0,1,0,0,0,0,0
COUCOAFm,1,1,0,1,1,0,0,0,0,0
CRMPte,0,0,0,0,0,0,0,0,1,0
CRNATBtc,0,0,0,0,1,1,0,0,0,1
CRVSM1hr,0,0,0,1,0,0,0,0,0,0
CRVSM23hr,0,0,0,1,0,0,0,0,0,0
CSAitr,0,0,0,0,1,0,0,0,0,0
CSAtd,0,0,0,0,1,0,0,0,0,0
CVM1GLUChc,0,0,0,1,0,0,0,0,0,0
CVM23GLUChc,0,0,0,1,0,0,0,0,0,0
CYOOm3i,1,1,1,1,1,1,1,1,1,1
CYSSNAT5tc,1,0,0,0,1,1,0,0,0,0
Coqe,1,1,0,0,0,1,1,1,1,1
Cov2VBOF,0,0,0,0,0,1,1,1,1,1
DACGST,1,1,0,0,1,1,1,0,0,0
DACT,1,0,1,1,0,1,0,0,0,0
DAGKn_hs,0,0,0,0,0,1,0,0,0,0
DCA24GSc,0,0,1,0,0,0,0,1,0,1
DCA24Gte,0,0,1,0,0,0,0,1,0,1
DCA3GSc,0,0,1,0,0,0,0,1,0,1
DCA3Gte,0,0,1,0,0,0,0,1,0,1
DCA3Sabc,0,0,1,0,0,0,0,1,0,1
DCA3St,0,0,1,0,0,0,0,1,0,1
DCMPtr,0,0,1,1,1,0,1,1,1,0
DCSPTN1CRNt,0,1,0,0,0,0,1,0,0,1
DEOXFVShc,1,1,1,1,0,1,1,1,1,1
DESAT14_9,1,1,1,0,0,1,1,1,0,1
DESAT16_2,1,1,1,1,1,1,1,1,1,1
DESAT18_10,1,1,1,0,0,1,1,1,0,1
DESAT18_3,1,1,1,1,0,1,1,1,1,1
DESAT18_4,1,1,1,1,0,1,1,1,1,1
DESAT18_5,1,1,1,1,0,1,1,1,1,1
DESAT18_6,1,1,1,0,0,1,1,1,0,1
DESAT18_7,1,1,1,0,1,1,1,1,1,1
DESAT18_8,1,1,1,0,0,1,1,1,0,1
DESAT18_9,1,1,1,0,0,1,1,1,0,1
DESAT20_1,1,1,1,1,0,1,1,1,0,0
DESAT20_2,1,1,1,1,0,1,1,1,0,0
DGCHOLte,0,0,1,0,0,0,0,1,0,1
DGTPtm,1,1,1,1,0,1,1,1,1,1
DHCHOLESTANATEATP,0,0,1,0,0,0,0,1,0,1
DHCHOLESTANATEt,0,0,0,0,0,1,0,0,0,0
DHCHOLESTANATEtm,0,0,1,0,0,0,0,1,0,0
DHCR243r,1,1,1,1,0,1,0,1,1,0
DHCR71r,1,1,1,1,0,1,1,1,1,0
DHCR72r,1,1,1,1,0,1,1,1,1,0
DHFtm,1,0,0,0,0,1,0,0,0,1
DLNLCGCRNt,0,1,0,0,0,0,0,0,0,0
DMATTx,1,1,1,1,1,1,1,1,1,0
DMHPTCRNt,0,1,0,0,0,0,0,0,0,0
DOCO13EFATP,0,0,1,0,0,0,0,1,0,0
DOCOSCOAtxc,0,0,0,0,0,0,0,0,0,1
DOLGLCP_Lter,1,0,1,0,0,1,0,0,0,1
DOPASULT4,0,0,1,0,1,0,1,1,0,0
DOPAc,1,0,0,1,1,1,0,1,1,1
DPMVDx,1,0,1,1,0,1,0,1,1,0
DSPVSteb,0,0,1,0,0,0,0,1,0,0
DSPVStev,0,0,1,0,0,0,0,1,0,0
DSREDUCr,1,1,1,1,0,1,1,1,1,0
DTMPKm,0,1,1,1,0,0,1,1,1,0
DXTRNt,0,0,1,0,0,0,1,1,0,1
EBP1r,1,1,1,1,1,1,1,1,1,0
EBP2r,1,1,1,1,0,1,1,1,1,0
EIC21114TRc,1,1,1,1,0,1,0,1,1,1
EICOSTETCRNt,0,1,0,0,0,0,1,0,0,0
ELAIDCPT1,0,0,1,0,0,0,1,1,1,0
ELAIDCPT2,1,1,0,1,0,1,0,0,0,0
ELAIDCRNtr,0,0,0,0,1,0,0,0,0,0
ESTRr,0,0,0,1,0,0,0,0,0,0
ETF,1,1,1,1,1,0,0,1,1,1
ETFQO,1,1,1,1,1,0,0,1,1,1
ETHAMPtr,0,0,0,0,0,0,0,0,0,1
EX_12HPET[e],1,1,1,1,1,1,1,1,1,1
EX_12dhchol[e],0,0,1,0,0,0,0,1,0,1
EX_15kprostgf2[e],0,0,1,0,0,0,0,0,0,0
EX_1a25dhvitd3[e],1,0,1,1,0,1,0,1,1,1
EX_23cump[e],1,0,1,1,0,1,0,1,1,0
EX_2hatvacid[e],0,0,1,0,0,0,0,1,0,0
EX_2hatvlac[e],0,0,1,0,0,0,0,1,0,0
EX_2hyoxplac[e],1,1,0,0,0,1,1,0,0,0
EX_3dhcdchol[e],0,0,1,0,0,0,0,1,0,1
EX_3dhchol[e],0,0,1,0,0,0,0,1,0,1
EX_3dhdchol[e],0,0,1,0,0,0,0,1,0,1
EX_3dhlchol[e],0,0,1,0,0,0,0,1,0,1
EX_3hpp[e],1,0,0,0,0,1,0,0,0,0
EX_3hpvs[e],1,1,1,1,1,1,1,1,1,1
EX_3hpvstet[e],0,0,1,0,0,0,0,1,0,0
EX_3ispvs[e],0,0,1,0,0,0,0,1,0,0
EX_3ump[e],1,0,1,1,0,1,0,1,1,0
EX_4abutn[e],0,0,0,0,1,0,0,0,0,0
EX_4hatvacid[e],0,0,1,0,0,0,0,1,0,0
EX_4hatvlac[e],0,0,1,0,0,0,0,1,0,0
EX_56dhpvs[e],0,0,1,0,0,0,0,1,0,0
EX_56eppvs[e],0,0,1,0,0,0,0,1,0,0
EX_5HPET[e],1,1,1,1,0,1,1,1,1,0
EX_5aop[e],0,0,0,0,0,0,0,0,0,1
EX_6epvs[e],0,0,1,0,0,0,0,1,0,0
EX_7dhcdchol[e],0,0,1,0,0,0,0,1,0,1
EX_7dhchol[e],0,0,1,0,0,0,0,1,0,1
EX_7dhchsterol[e],0,0,1,0,1,0,0,0,0,0
EX_7hpvs[e],0,0,1,0,0,0,0,1,0,0
EX_7klitchol[e],0,0,1,0,0,0,0,1,0,1
EX_C02528[e],0,0,1,0,0,0,0,1,0,1
EX_C04717[e],0,1,1,1,1,0,1,1,1,1
EX_C04849[e],1,1,1,1,1,1,1,1,1,1
EX_C05957[e],1,0,0,0,0,1,0,0,0,0
EX_C13856[e],0,0,0,0,1,0,0,0,1,1
EX_C14770[e],0,1,0,1,0,0,1,0,0,0
EX_C14771[e],0,1,0,1,0,0,1,0,0,0
EX_CE0074[e],1,1,1,1,1,1,1,1,1,1
EX_CE1273[e],0,0,1,0,0,0,0,1,0,1
EX_CE1918[e],0,0,1,0,0,0,0,1,0,0
EX_CE1935[e],0,0,0,0,1,0,0,0,0,0
EX_CE1939[e],0,0,0,0,1,0,0,0,0,0
EX_CE1940[e],0,0,0,0,1,0,0,0,0,0
EX_CE1943[e],0,0,0,0,1,0,0,0,0,0
EX_CE2250[e],0,0,1,0,0,0,0,1,0,0
EX_CE2510[e],1,1,1,1,1,1,1,1,1,1
EX_CE2537[e],0,0,0,0,0,0,0,1,0,0
EX_CE2705[e],0,1,1,1,1,0,1,1,1,0
EX_CE2915[e],0,1,0,0,0,0,1,0,0,0
EX_CE2916[e],0,1,0,0,0,0,1,0,0,0
EX_CE2917[e],0,1,0,0,0,0,1,0,0,0
EX_CE4722[e],0,1,0,0,0,0,1,0,0,0
EX_CE4723[e],0,1,0,0,0,0,1,0,0,0
EX_CE4724[e],0,1,0,0,0,0,1,0,0,0
EX_CE5025[e],1,0,0,1,0,1,0,0,0,1
EX_CE5304[e],0,0,0,1,0,0,0,0,0,0
EX_CE5786[e],0,0,0,0,1,0,0,0,0,1
EX_CE5787[e],0,0,0,0,1,0,0,0,0,1
EX_CE5791[e],0,0,0,0,1,0,0,0,0,1
EX_CE5867[e],0,1,0,0,0,0,1,0,0,0
EX_CE5868[e],0,1,0,0,0,0,1,0,0,0
EX_CE5869[e],0,1,0,0,0,0,1,0,0,0
EX_CE7090[e],0,0,0,0,0,0,0,0,0,1
EX_HC00002[e],0,0,0,0,0,0,0,0,1,0
EX_HC00003[e],0,0,0,0,0,1,0,0,0,0
EX_HC00004[e],1,0,1,1,1,1,0,1,1,1
EX_HC00822[e],1,0,1,1,1,1,0,1,1,1
EX_HC00955[e],0,0,1,1,0,0,0,1,1,0
EX_HC01577[e],0,0,1,1,0,0,0,1,1,0
EX_HC01609[e],1,1,1,1,1,1,1,1,0,0
EX_HC01610[e],1,1,1,1,1,1,1,1,0,0
EX_HC01700[e],0,0,1,1,0,0,0,1,1,0
EX_HC01852[e],1,0,0,0,0,0,0,0,0,0
EX_HC01939[e],1,0,0,1,0,0,0,0,1,1
EX_HC01943[e],0,0,0,1,1,0,0,0,0,0
EX_HC01944[e],0,1,0,0,0,0,0,0,0,0
EX_HC02160[e],1,0,1,1,0,1,0,1,1,0
EX_HC02161[e],1,0,1,1,0,1,0,1,1,0
EX_HC02187[e],0,0,0,1,1,0,0,0,1,1
EX_HC02191[e],0,0,1,0,0,0,0,1,0,1
EX_HC02194[e],0,0,1,0,0,0,0,1,0,1
EX_HC02195[e],0,0,1,0,0,0,0,1,0,1
EX_HC02196[e],0,0,1,0,0,0,0,1,0,1
EX_HC02200[e],0,0,0,0,0,0,0,0,1,0
EX_HC02202[e],0,0,0,0,1,0,0,0,0,1
EX_HC02203[e],0,0,0,0,1,0,0,0,0,1
EX_HC02204[e],0,0,0,0,1,0,0,0,0,1
EX_HC02205[e],0,0,0,0,1,0,0,0,0,1
EX_HC02206[e],0,0,0,0,1,0,0,0,0,1
EX_HC02207[e],0,0,0,0,1,0,0,0,0,1
EX_HC02208[e],0,0,0,0,1,0,0,0,0,1
EX_HC02210[e],0,0,0,0,1,0,0,0,0,1
EX_HC02213[e],0,0,0,0,1,0,0,0,0,1
EX_HC02214[e],0,0,0,0,1,0,0,0,0,1
EX_HC02216[e],0,0,0,0,1,0,0,0,0,1
EX_HC02217[e],0,0,0,0,1,0,0,0,0,1
EX_HC02220[e],0,0,1,0,0,0,0,1,0,1
EX_M00003[e],1,1,1,1,1,1,1,1,1,1
EX_M00008[e],1,1,1,1,1,1,1,1,1,1
EX_M00010[e],1,1,1,1,1,1,1,1,1,1
EX_M00017[e],1,1,1,1,1,1,1,1,1,1
EX_M00019[e],1,1,1,1,1,1,1,1,1,1
EX_M00021[e],1,1,1,1,1,1,1,1,1,1
EX_M00115[e],1,1,1,1,1,1,1,1,1,1
EX_M00117[e],1,1,1,1,1,1,1,1,1,1
EX_M00234[e],1,0,0,1,1,1,0,0,1,1
EX_M00241[e],0,0,0,0,1,0,0,0,0,1
EX_M00260[e],1,1,1,1,1,1,1,1,1,1
EX_M00265[e],1,1,1,1,1,1,1,1,1,1
EX_M00315[e],1,1,1,1,1,1,1,1,1,1
EX_M00341[e],1,1,1,1,1,1,1,1,1,1
EX_M00503[e],1,0,1,1,1,1,0,1,1,1
EX_M00510[e],0,0,1,0,1,0,0,1,0,1
EX_M01197[e],1,1,1,1,1,1,1,1,1,1
EX_M01207[e],1,1,1,1,1,1,1,1,1,1
EX_M01235[e],1,1,1,1,1,1,1,1,1,1
EX_M01238[e],1,1,1,1,1,1,1,1,1,1
EX_M01582[e],1,1,1,1,1,1,1,1,1,1
EX_M01807[e],1,0,0,1,1,1,0,0,1,1
EX_M01820[e],0,0,0,0,1,0,0,0,0,1
EX_M02053[e],1,1,1,1,1,1,1,1,1,1
EX_M02457[e],1,1,1,1,1,1,1,1,1,1
EX_M02613[e],1,1,1,1,1,1,1,1,1,1
EX_M02745[e],1,1,1,1,1,1,1,1,1,1
EX_M02956[e],1,1,1,1,1,1,0,1,1,1
EX_M03045[e],1,1,1,1,1,1,1,1,1,1
EX_M03051[e],1,1,1,1,1,1,1,1,1,1
EX_M03153[e],1,1,1,1,1,1,1,1,1,1
EX_N1aspmd[e],0,1,0,0,0,0,1,0,0,0
EX_aact[e],0,0,0,0,1,0,0,0,0,0
EX_acmp[e],0,0,1,0,0,0,0,1,0,1
EX_acmpglu[e],0,0,1,0,0,0,0,1,0,1
EX_acmpglut[e],0,0,1,0,0,0,0,1,0,1
EX_acnam[e],1,1,1,0,0,1,0,1,0,1
EX_adrn[e],1,1,1,1,1,1,1,1,1,1
EX_ahdt[e],0,0,0,0,1,0,0,0,0,1
EX_am9csa[e],0,0,0,1,0,0,0,0,0,0
EX_arach[e],1,1,1,1,1,1,1,1,1,1
EX_arachcoa[e],0,0,1,0,0,0,0,1,0,0
EX_arachd[e],1,1,1,1,1,1,1,1,1,1
EX_atp[e],1,0,1,1,1,1,0,1,1,0
EX_atvacid[e],1,1,0,0,1,1,1,0,0,0
EX_bgly[e],1,0,1,1,1,1,0,1,1,0
EX_c16dc[e],0,1,1,1,0,0,1,1,1,0
EX_c3dc[e],0,0,1,0,0,0,0,1,0,0
EX_ca24g[e],0,0,1,0,0,0,0,1,0,1
EX_ca3s[e],0,0,1,0,0,0,0,1,0,1
EX_carn[e],1,0,0,1,1,1,0,0,1,1
EX_cdca24g[e],0,0,1,0,0,0,0,1,0,1
EX_cdca3g[e],0,0,1,0,0,0,0,1,0,1
EX_clpnd[e],1,1,1,1,1,1,1,1,1,1
EX_coa[e],0,0,1,0,0,0,0,1,0,0
EX_coke[e],1,0,0,0,1,1,0,0,0,1
EX_coprost[e],0,0,1,0,0,0,0,1,0,1
EX_crm_hs[e],0,1,0,0,1,1,1,0,0,0
EX_crmp_hs[e],0,0,0,0,0,0,0,0,1,0
EX_crvnc[e],1,1,1,1,1,1,1,1,1,1
EX_csa[e],0,0,0,0,1,0,0,0,0,0
EX_dca24g[e],0,0,1,0,0,0,0,1,0,1
EX_dca3g[e],0,0,1,0,0,0,0,1,0,1
EX_dca3s[e],0,0,1,0,0,0,0,1,0,1
EX_dchac[e],0,0,1,0,0,0,0,1,0,1
EX_dcmp[e],0,0,1,1,1,0,1,1,1,0
EX_dcsptn1[e],1,1,1,1,1,1,1,1,1,1
EX_ddca[e],1,1,1,1,1,1,1,1,1,1
EX_dgmp[e],1,1,1,1,1,1,1,1,0,0
EX_dgtp[e],1,1,1,1,1,1,1,1,0,0
EX_dha[e],0,0,1,0,1,0,0,1,0,1
EX_dhap[e],0,0,1,0,1,0,0,1,0,1
EX_dhcholestanate[e],0,0,1,0,0,1,0,1,0,1
EX_dlnlcg[e],1,1,1,1,1,1,1,1,1,1
EX_doco13ac[e],1,1,1,1,1,1,1,1,1,1
EX_docosac[e],1,1,1,1,1,1,1,1,1,1
EX_dspvs[e],0,0,1,0,0,0,0,1,0,0
EX_dxtrn[e],0,0,1,0,0,0,1,1,0,1
EX_eicostet[e],1,1,1,1,1,1,1,1,1,1
EX_elaid[e],1,1,1,1,1,1,1,1,1,1
EX_elaidcrn[e],0,0,0,0,1,0,0,0,0,0
EX_ethamp[e],0,0,0,0,0,0,0,0,0,1
EX_fad[e],1,1,1,1,1,1,1,1,1,1
